ligandsfile targetlist
D00257.mol2 1F9Y
D00258.mol2 1F9Y
D00259.mol2 1F9Y
D00260.mol2 1F9Y
D00261.mol2 1F9Y
D00262.mol2 1F9Y
D00263.mol2 1F9Y
D00264.mol2 1F9Y
D00265.mol2 1F9Y
D00266.mol2 1F9Y
D00267.mol2 1F9Y
D00268.mol2 1F9Y
D00269.mol2 1F9Y
D00270.mol2 1F9Y
D00271.mol2 1F9Y
D00272.mol2 1F9Y
D00273.mol2 1F9Y
D00274.mol2 1F9Y
D00276.mol2 1F9Y
D00277.mol2 1F9Y
D00278.mol2 1F9Y
D00279.mol2 1F9Y
D00280.mol2 1F9Y
D00281.mol2 1F9Y
D00282.mol2 1F9Y
D00283.mol2 1F9Y
D00284.mol2 1F9Y
D00285.mol2 1F9Y
D00286.mol2 1F9Y
D00287.mol2 1F9Y
D00288.mol2 1F9Y
D00289.mol2 1F9Y
D00290.mol2 1F9Y
D00291.mol2 1F9Y
D00292.mol2 1F9Y
D00293.mol2 1F9Y
D00294.mol2 1F9Y
D00295.mol2 1F9Y
D00296.mol2 1F9Y
D00297.mol2 1F9Y
D00298.mol2 1F9Y
D00299.mol2 1F9Y
D00300.mol2 1F9Y
D00301.mol2 1F9Y
D00302.mol2 1F9Y
D00303.mol2 1F9Y
D00304.mol2 1F9Y
D00305.mol2 1F9Y
D00306.mol2 1F9Y
D00307.mol2 1F9Y
D00308.mol2 1F9Y
D00309.mol2 1F9Y
D00310.mol2 1F9Y
D00311.mol2 1F9Y
D00312.mol2 1F9Y
D00313.mol2 1F9Y
D00314.mol2 1F9Y
D00315.mol2 1F9Y
D00316.mol2 1F9Y
D00317.mol2 1F9Y
D00318.mol2 1F9Y
D00319.mol2 1F9Y
D00320.mol2 1F9Y
D00321.mol2 1F9Y
D00322.mol2 1F9Y
D00323.mol2 1F9Y
D00324.mol2 1F9Y
D00325.mol2 1F9Y
D00326.mol2 1F9Y
D00327.mol2 1F9Y
D00328.mol2 1F9Y
D00329.mol2 1F9Y
D00330.mol2 1F9Y
D00331.mol2 1F9Y
D00332.mol2 1F9Y
D00333.mol2 1F9Y
D00334.mol2 1F9Y
D00335.mol2 1F9Y
D00336.mol2 1F9Y
D00337.mol2 1F9Y
D00338.mol2 1F9Y
D00339.mol2 1F9Y
D00340.mol2 1F9Y
D00341.mol2 1F9Y
D00342.mol2 1F9Y
D00343.mol2 1F9Y
D00344.mol2 1F9Y
D00345.mol2 1F9Y
D00346.mol2 1F9Y
D00347.mol2 1F9Y
D00348.mol2 1F9Y
D00349.mol2 1F9Y
D00350.mol2 1F9Y
D00351.mol2 1F9Y
D00352.mol2 1F9Y
D00353.mol2 1F9Y
D00354.mol2 1F9Y
D00355.mol2 1F9Y
D00356.mol2 1F9Y
D00357.mol2 1F9Y
D00358.mol2 1F9Y
D00359.mol2 1F9Y
D00360.mol2 1F9Y
D00361.mol2 1F9Y
D00362.mol2 1F9Y
D00363.mol2 1F9Y
D00364.mol2 1F9Y
D00365.mol2 1F9Y
D00366.mol2 1F9Y
D00367.mol2 1F9Y
D00368.mol2 1F9Y
D00369.mol2 1F9Y
D00370.mol2 1F9Y
D00371.mol2 1F9Y
D00372.mol2 1F9Y
D00373.mol2 1F9Y
D00374.mol2 1F9Y
D00375.mol2 1F9Y
D00376.mol2 1F9Y
D00377.mol2 1F9Y
D00378.mol2 1F9Y
D00379.mol2 1F9Y
D00380.mol2 1F9Y
D00381.mol2 1F9Y
D00382.mol2 1F9Y
D00383.mol2 1F9Y
D00384.mol2 1F9Y
D00385.mol2 1F9Y
D00386.mol2 1F9Y
D00387.mol2 1F9Y
D00388.mol2 1F9Y
D00389.mol2 1F9Y
D00390.mol2 1F9Y
D00391.mol2 1F9Y
D00392.mol2 1F9Y
D00393.mol2 1F9Y
D00394.mol2 1F9Y
D00395.mol2 1F9Y
D00396.mol2 1F9Y
D00397.mol2 1F9Y
D00398.mol2 1F9Y
D00399.mol2 1F9Y
D00400.mol2 1F9Y
D00401.mol2 1F9Y
D00402.mol2 1F9Y
D00403.mol2 1F9Y
D00404.mol2 1F9Y
D00405.mol2 1F9Y
D00406.mol2 1F9Y
D00407.mol2 1F9Y
D00408.mol2 1F9Y
D00409.mol2 1F9Y
D00410.mol2 1F9Y
D00411.mol2 1F9Y
D00412.mol2 1F9Y
D00413.mol2 1F9Y
D00414.mol2 1F9Y
D00415.mol2 1F9Y
D00416.mol2 1F9Y
D00417.mol2 1F9Y
D00418.mol2 1F9Y
D00419.mol2 1F9Y
D00420.mol2 1F9Y
D00421.mol2 1F9Y
D00422.mol2 1F9Y
D00423.mol2 1F9Y
D00424.mol2 1F9Y
D00425.mol2 1F9Y
D00426.mol2 1F9Y
D00427.mol2 1F9Y
D00428.mol2 1F9Y
D00429.mol2 1F9Y
D00430.mol2 1F9Y
D00431.mol2 1F9Y
D00432.mol2 1F9Y
D00433.mol2 1F9Y
D00434.mol2 1F9Y
D00435.mol2 1F9Y
D00436.mol2 1F9Y
D00437.mol2 1F9Y
D00438.mol2 1F9Y
D00439.mol2 1F9Y
D00440.mol2 1F9Y
D00441.mol2 1F9Y
D00442.mol2 1F9Y
D00443.mol2 1F9Y
D00444.mol2 1F9Y
D00445.mol2 1F9Y
D00447.mol2 1F9Y
D00448.mol2 1F9Y
D00449.mol2 1F9Y
D00450.mol2 1F9Y
D00451.mol2 1F9Y
D00452.mol2 1F9Y
D00453.mol2 1F9Y
D00454.mol2 1F9Y
D00455.mol2 1F9Y
D00456.mol2 1F9Y
D00457.mol2 1F9Y
D00458.mol2 1F9Y
D00459.mol2 1F9Y
D00460.mol2 1F9Y
D00461.mol2 1F9Y
D00462.mol2 1F9Y
D00463.mol2 1F9Y
D00464.mol2 1F9Y
D00465.mol2 1F9Y
D00466.mol2 1F9Y
D00467.mol2 1F9Y
D00468.mol2 1F9Y
D00469.mol2 1F9Y
D00470.mol2 1F9Y
D00471.mol2 1F9Y
D00472.mol2 1F9Y
D00473.mol2 1F9Y
D00474.mol2 1F9Y
D00475.mol2 1F9Y
D00476.mol2 1F9Y
D00477.mol2 1F9Y
D00478.mol2 1F9Y
D00479.mol2 1F9Y
D00480.mol2 1F9Y
D00481.mol2 1F9Y
D00482.mol2 1F9Y
D00483.mol2 1F9Y
D00484.mol2 1F9Y
D00485.mol2 1F9Y
D00486.mol2 1F9Y
D00487.mol2 1F9Y
D00488.mol2 1F9Y
D00489.mol2 1F9Y
D00490.mol2 1F9Y
D00491.mol2 1F9Y
D00492.mol2 1F9Y
D00493.mol2 1F9Y
D00494.mol2 1F9Y
D00495.mol2 1F9Y
D00496.mol2 1F9Y
D00497.mol2 1F9Y
D00498.mol2 1F9Y
D00499.mol2 1F9Y
D00500.mol2 1F9Y
D00501.mol2 1F9Y
D00502.mol2 1F9Y
D00503.mol2 1F9Y
D00504.mol2 1F9Y
D00505.mol2 1F9Y
D00506.mol2 1F9Y
D00507.mol2 1F9Y
D00508.mol2 1F9Y
D00509.mol2 1F9Y
D00510.mol2 1F9Y
D00511.mol2 1F9Y
D00512.mol2 1F9Y
D00513.mol2 1F9Y
D00514.mol2 1F9Y
D00515.mol2 1F9Y
D00516.mol2 1F9Y
D00517.mol2 1F9Y
D00518.mol2 1F9Y
D00519.mol2 1F9Y
D00520.mol2 1F9Y
D00521.mol2 1F9Y
D00522.mol2 1F9Y
D00523.mol2 1F9Y
D00524.mol2 1F9Y
D00525.mol2 1F9Y
D00526.mol2 1F9Y
D00527.mol2 1F9Y
D00528.mol2 1F9Y
D00529.mol2 1F9Y
D00530.mol2 1F9Y
D00531.mol2 1F9Y
D00532.mol2 1F9Y
D00533.mol2 1F9Y
D00534.mol2 1F9Y
D00535.mol2 1F9Y
D00536.mol2 1F9Y
D00537.mol2 1F9Y
D00538.mol2 1F9Y
D00539.mol2 1F9Y
D00540.mol2 1F9Y
D00541.mol2 1F9Y
D00542.mol2 1F9Y
D00543.mol2 1F9Y
D00544.mol2 1F9Y
D00545.mol2 1F9Y
D00546.mol2 1F9Y
D00547.mol2 1F9Y
D00548.mol2 1F9Y
D00549.mol2 1F9Y
D00550.mol2 1F9Y
D00551.mol2 1F9Y
D00552.mol2 1F9Y
D00553.mol2 1F9Y
D00554.mol2 1F9Y
D00555.mol2 1F9Y
D00556.mol2 1F9Y
D00557.mol2 1F9Y
D00558.mol2 1F9Y
D00559.mol2 1F9Y
D00560.mol2 1F9Y
D00561.mol2 1F9Y
D00562.mol2 1F9Y
D00563.mol2 1F9Y
D00564.mol2 1F9Y
D00565.mol2 1F9Y
D00566.mol2 1F9Y
D00567.mol2 1F9Y
D00568.mol2 1F9Y
D00569.mol2 1F9Y
D00570.mol2 1F9Y
D00571.mol2 1F9Y
D00572.mol2 1F9Y
D00573.mol2 1F9Y
D00574.mol2 1F9Y
D00575.mol2 1F9Y
D00576.mol2 1F9Y
D00577.mol2 1F9Y
D00578.mol2 1F9Y
D00579.mol2 1F9Y
D00580.mol2 1F9Y
D00581.mol2 1F9Y
D00583.mol2 1F9Y
D00584.mol2 1F9Y
D00585.mol2 1F9Y
D00586.mol2 1F9Y
D00587.mol2 1F9Y
D00588.mol2 1F9Y
D00589.mol2 1F9Y
D00590.mol2 1F9Y
D00591.mol2 1F9Y
D00592.mol2 1F9Y
D00593.mol2 1F9Y
D00594.mol2 1F9Y
D00595.mol2 1F9Y
D00596.mol2 1F9Y
D00597.mol2 1F9Y
D00598.mol2 1F9Y
D00599.mol2 1F9Y
D00600.mol2 1F9Y
D00601.mol2 1F9Y
D00602.mol2 1F9Y
D00603.mol2 1F9Y
D00604.mol2 1F9Y
D00605.mol2 1F9Y
D00606.mol2 1F9Y
D00607.mol2 1F9Y
D00608.mol2 1F9Y
D00609.mol2 1F9Y
D00610.mol2 1F9Y
D00611.mol2 1F9Y
D00612.mol2 1F9Y
D00613.mol2 1F9Y
D00615.mol2 1F9Y
D00616.mol2 1F9Y
D00617.mol2 1F9Y
D00618.mol2 1F9Y
D00619.mol2 1F9Y
D00620.mol2 1F9Y
D00621.mol2 1F9Y
D00622.mol2 1F9Y
D00623.mol2 1F9Y
D00624.mol2 1F9Y
D00625.mol2 1F9Y
D00626.mol2 1F9Y
D00627.mol2 1F9Y
D00628.mol2 1F9Y
D00629.mol2 1F9Y
D00630.mol2 1F9Y
D00631.mol2 1F9Y
D00632.mol2 1F9Y
D00633.mol2 1F9Y
D00634.mol2 1F9Y
D00635.mol2 1F9Y
D00636.mol2 1F9Y
D00637.mol2 1F9Y
D00638.mol2 1F9Y
D00639.mol2 1F9Y
D00640.mol2 1F9Y
D00641.mol2 1F9Y
D00642.mol2 1F9Y
D00643.mol2 1F9Y
D00644.mol2 1F9Y
D00645.mol2 1F9Y
D00646.mol2 1F9Y
D00647.mol2 1F9Y
D00648.mol2 1F9Y
D00649.mol2 1F9Y
D00650.mol2 1F9Y
D00651.mol2 1F9Y
D00652.mol2 1F9Y
D00653.mol2 1F9Y
D00654.mol2 1F9Y
D00655.mol2 1F9Y
D00656.mol2 1F9Y
D00657.mol2 1F9Y
D00658.mol2 1F9Y
D00659.mol2 1F9Y
D00660.mol2 1F9Y
D00661.mol2 1F9Y
D00662.mol2 1F9Y
D00663.mol2 1F9Y
D00664.mol2 1F9Y
D00665.mol2 1F9Y
D00666.mol2 1F9Y
D00667.mol2 1F9Y
D00668.mol2 1F9Y
D00669.mol2 1F9Y
D00670.mol2 1F9Y
D00671.mol2 1F9Y
D00672.mol2 1F9Y
D00673.mol2 1F9Y
D00674.mol2 1F9Y
D00675.mol2 1F9Y
D00676.mol2 1F9Y
D00677.mol2 1F9Y
D00678.mol2 1F9Y
D00679.mol2 1F9Y
D00680.mol2 1F9Y
D00681.mol2 1F9Y
D00682.mol2 1F9Y
D00683.mol2 1F9Y
D00684.mol2 1F9Y
D00685.mol2 1F9Y
D00686.mol2 1F9Y
D00687.mol2 1F9Y
D00688.mol2 1F9Y
D00689.mol2 1F9Y
D00690.mol2 1F9Y
D00691.mol2 1F9Y
D00693.mol2 1F9Y
D00694.mol2 1F9Y
D00695.mol2 1F9Y
D00696.mol2 1F9Y
D00697.mol2 1F9Y
D00698.mol2 1F9Y
D00699.mol2 1F9Y
D00700.mol2 1F9Y
D00701.mol2 1F9Y
D00702.mol2 1F9Y
D00703.mol2 1F9Y
D00704.mol2 1F9Y
D00705.mol2 1F9Y
D00706.mol2 1F9Y
D00707.mol2 1F9Y
D00708.mol2 1F9Y
D00709.mol2 1F9Y
D00710.mol2 1F9Y
D00711.mol2 1F9Y
D00712.mol2 1F9Y
D00713.mol2 1F9Y
D00714.mol2 1F9Y
D00715.mol2 1F9Y
D00716.mol2 1F9Y
D00717.mol2 1F9Y
D00718.mol2 1F9Y
D00719.mol2 1F9Y
D00720.mol2 1F9Y
D00721.mol2 1F9Y
D00722.mol2 1F9Y
D00723.mol2 1F9Y
D00724.mol2 1F9Y
D00725.mol2 1F9Y
D00726.mol2 1F9Y
D00727.mol2 1F9Y
D00729.mol2 1F9Y
D00730.mol2 1F9Y
D00732.mol2 1F9Y
D00733.mol2 1F9Y
D00734.mol2 1F9Y
D00735.mol2 1F9Y
D00736.mol2 1F9Y
D00737.mol2 1F9Y
D00738.mol2 1F9Y
D00739.mol2 1F9Y
D00740.mol2 1F9Y
D00741.mol2 1F9Y
D00743.mol2 1F9Y
D00744.mol2 1F9Y
D00749.mol2 1F9Y
D00750.mol2 1F9Y
D00751.mol2 1F9Y
D00752.mol2 1F9Y
D00753.mol2 1F9Y
D00754.mol2 1F9Y
D00755.mol2 1F9Y
D00756.mol2 1F9Y
D00757.mol2 1F9Y
D00758.mol2 1F9Y
D00759.mol2 1F9Y
D00760.mol2 1F9Y
D00761.mol2 1F9Y
D00762.mol2 1F9Y
D00763.mol2 1F9Y
D00764.mol2 1F9Y
D00765.mol2 1F9Y
D00766.mol2 1F9Y
D00767.mol2 1F9Y
D00768.mol2 1F9Y
D00769.mol2 1F9Y
D00770.mol2 1F9Y
D00771.mol2 1F9Y
D00772.mol2 1F9Y
D00773.mol2 1F9Y
D00774.mol2 1F9Y
D00775.mol2 1F9Y
D00776.mol2 1F9Y
D00777.mol2 1F9Y
D00778.mol2 1F9Y
D00779.mol2 1F9Y
D00780.mol2 1F9Y
D00781.mol2 1F9Y
D00782.mol2 1F9Y
D00784.mol2 1F9Y
D00785.mol2 1F9Y
D00786.mol2 1F9Y
D00787.mol2 1F9Y
D00788.mol2 1F9Y
D00789.mol2 1F9Y
D00790.mol2 1F9Y
D00791.mol2 1F9Y
D00792.mol2 1F9Y
D00793.mol2 1F9Y
D00794.mol2 1F9Y
D00795.mol2 1F9Y
D00796.mol2 1F9Y
D00797.mol2 1F9Y
D00798.mol2 1F9Y
D00799.mol2 1F9Y
D00800.mol2 1F9Y
D00801.mol2 1F9Y
D00802.mol2 1F9Y
D00803.mol2 1F9Y
D00805.mol2 1F9Y
D00806.mol2 1F9Y
D00807.mol2 1F9Y
D00808.mol2 1F9Y
D00809.mol2 1F9Y
D00810.mol2 1F9Y
D00811.mol2 1F9Y
D00812.mol2 1F9Y
D00813.mol2 1F9Y
D00814.mol2 1F9Y
D00815.mol2 1F9Y
D00816.mol2 1F9Y
D00817.mol2 1F9Y
D00818.mol2 1F9Y
D00819.mol2 1F9Y
D00820.mol2 1F9Y
D00821.mol2 1F9Y
D00822.mol2 1F9Y
D00823.mol2 1F9Y
D00824.mol2 1F9Y
D00825.mol2 1F9Y
D00826.mol2 1F9Y
D00828.mol2 1F9Y
D00829.mol2 1F9Y
D00830.mol2 1F9Y
D00831.mol2 1F9Y
D00833.mol2 1F9Y
D00834.mol2 1F9Y
D00835.mol2 1F9Y
D00836.mol2 1F9Y
D00837.mol2 1F9Y
D00838.mol2 1F9Y
D00839.mol2 1F9Y
D00840.mol2 1F9Y
D00841.mol2 1F9Y
D00842.mol2 1F9Y
D00843.mol2 1F9Y
D00844.mol2 1F9Y
D00845.mol2 1F9Y
D00846.mol2 1F9Y
D00847.mol2 1F9Y
D00848.mol2 1F9Y
D00849.mol2 1F9Y
D00850.mol2 1F9Y
D00851.mol2 1F9Y
D00852.mol2 1F9Y
D00853.mol2 1F9Y
D00854.mol2 1F9Y
D00855.mol2 1F9Y
D00856.mol2 1F9Y
D00858.mol2 1F9Y
D00859.mol2 1F9Y
D00862.mol2 1F9Y
D00865.mol2 1F9Y
D00866.mol2 1F9Y
D00867.mol2 1F9Y
D00868.mol2 1F9Y
D00869.mol2 1F9Y
D00870.mol2 1F9Y
D00871.mol2 1F9Y
D00872.mol2 1F9Y
D00873.mol2 1F9Y
D00874.mol2 1F9Y
D00875.mol2 1F9Y
D00877.mol2 1F9Y
D00878.mol2 1F9Y
D00879.mol2 1F9Y
D00880.mol2 1F9Y
D00881.mol2 1F9Y
D00882.mol2 1F9Y
D00883.mol2 1F9Y
D00884.mol2 1F9Y
D00885.mol2 1F9Y
D00886.mol2 1F9Y
D00887.mol2 1F9Y
D00888.mol2 1F9Y
D00889.mol2 1F9Y
D00890.mol2 1F9Y
D00891.mol2 1F9Y
D00892.mol2 1F9Y
D00893.mol2 1F9Y
D00894.mol2 1F9Y
D00895.mol2 1F9Y
D00896.mol2 1F9Y
D00897.mol2 1F9Y
D00898.mol2 1F9Y
D00899.mol2 1F9Y
D00900.mol2 1F9Y
D00901.mol2 1F9Y
D00902.mol2 1F9Y
D00903.mol2 1F9Y
D00904.mol2 1F9Y
D00905.mol2 1F9Y
D00907.mol2 1F9Y
D00908.mol2 1F9Y
D00909.mol2 1F9Y
D00910.mol2 1F9Y
D00911.mol2 1F9Y
D00912.mol2 1F9Y
D00913.mol2 1F9Y
D00914.mol2 1F9Y
D00915.mol2 1F9Y
D00916.mol2 1F9Y
D00917.mol2 1F9Y
D00918.mol2 1F9Y
D00919.mol2 1F9Y
D00920.mol2 1F9Y
D00921.mol2 1F9Y
D00922.mol2 1F9Y
D00923.mol2 1F9Y
D00924.mol2 1F9Y
D00925.mol2 1F9Y
D00926.mol2 1F9Y
D00927.mol2 1F9Y
D00928.mol2 1F9Y
D00929.mol2 1F9Y
D00930.mol2 1F9Y
D00931.mol2 1F9Y
D00932.mol2 1F9Y
D00933.mol2 1F9Y
D00934.mol2 1F9Y
D00935.mol2 1F9Y
D00936.mol2 1F9Y
D00937.mol2 1F9Y
D00938.mol2 1F9Y
D00939.mol2 1F9Y
D00940.mol2 1F9Y
D00941.mol2 1F9Y
D00942.mol2 1F9Y
D00943.mol2 1F9Y
D00944.mol2 1F9Y
D00945.mol2 1F9Y
D00946.mol2 1F9Y
D00947.mol2 1F9Y
D00948.mol2 1F9Y
D00949.mol2 1F9Y
D00950.mol2 1F9Y
D00951.mol2 1F9Y
D00952.mol2 1F9Y
D00953.mol2 1F9Y
D00954.mol2 1F9Y
D00955.mol2 1F9Y
D00956.mol2 1F9Y
D00957.mol2 1F9Y
D00958.mol2 1F9Y
D00959.mol2 1F9Y
D00960.mol2 1F9Y
D00961.mol2 1F9Y
D00962.mol2 1F9Y
D00963.mol2 1F9Y
D00964.mol2 1F9Y
D00965.mol2 1F9Y
D00966.mol2 1F9Y
D00967.mol2 1F9Y
D00968.mol2 1F9Y
D00969.mol2 1F9Y
D00970.mol2 1F9Y
D00971.mol2 1F9Y
D00972.mol2 1F9Y
D00973.mol2 1F9Y
D00974.mol2 1F9Y
D00975.mol2 1F9Y
D00976.mol2 1F9Y
D00977.mol2 1F9Y
D00978.mol2 1F9Y
D00979.mol2 1F9Y
D00980.mol2 1F9Y
D00981.mol2 1F9Y
D00982.mol2 1F9Y
D00983.mol2 1F9Y
D00984.mol2 1F9Y
D00985.mol2 1F9Y
D00986.mol2 1F9Y
D00987.mol2 1F9Y
D00988.mol2 1F9Y
D00989.mol2 1F9Y
D00990.mol2 1F9Y
D00993.mol2 1F9Y
D00994.mol2 1F9Y
D00995.mol2 1F9Y
D00996.mol2 1F9Y
D00997.mol2 1F9Y
D00998.mol2 1F9Y
D00999.mol2 1F9Y
D01000.mol2 1F9Y
D01001.mol2 1F9Y
D01002.mol2 1F9Y
D01003.mol2 1F9Y
D01004.mol2 1F9Y
D01005.mol2 1F9Y
D01006.mol2 1F9Y
D01007.mol2 1F9Y
D01008.mol2 1F9Y
D01009.mol2 1F9Y
D01010.mol2 1F9Y
D01011.mol2 1F9Y
D01013.mol2 1F9Y
D01014.mol2 1F9Y
D01015.mol2 1F9Y
D01016.mol2 1F9Y
D01017.mol2 1F9Y
D01018.mol2 1F9Y
D01019.mol2 1F9Y
D01020.mol2 1F9Y
D01021.mol2 1F9Y
D01022.mol2 1F9Y
D01023.mol2 1F9Y
D01024.mol2 1F9Y
D01025.mol2 1F9Y
D01026.mol2 1F9Y
D01028.mol2 1F9Y
D01029.mol2 1F9Y
D01030.mol2 1F9Y
D01031.mol2 1F9Y
D01034.mol2 1F9Y
D01035.mol2 1F9Y
D01036.mol2 1F9Y
D01037.mol2 1F9Y
D01038.mol2 1F9Y
D01039.mol2 1F9Y
D01040.mol2 1F9Y
D01041.mol2 1F9Y
D01042.mol2 1F9Y
D01043.mol2 1F9Y
D01044.mol2 1F9Y
D01045.mol2 1F9Y
D01046.mol2 1F9Y
D01047.mol2 1F9Y
D01048.mol2 1F9Y
D01049.mol2 1F9Y
D01050.mol2 1F9Y
D01051.mol2 1F9Y
